"cid","title","categories","website","phone","review_rating","review_count","price_range","description","attributes","owner_name","is_verified","address","city","postal_code","state","country","latitude","longitude","emails","socials"
"505395669665242158","Ernest News Stand","[""Newspaper publisher""]",,"+1215-471-4380",1,1,,,"[]","Ernest News Stand (Owner)",true,"5138 Market St, Philadelphia, PA 19139, United States","Philadelphia","19139","Pennsylvania","US",39.95968999999999,-75.2243809,,
"10517185514242762469","Penny Pincher","[""Newspaper publisher""]",,"+1610-970-3210",0,0,,,"[]","Penny Pincher (Owner)",true,"24 N Hanover St B, Pottstown, PA 19464, United States","Pottstown","19464","Pennsylvania","US",40.2464872,-75.649976,,
"6294870853935363924","On-Line Publishers","[""Newspaper publisher""]","https://www.onlinepub.com/","+1717-285-1350",0,0,,,"[""Wheelchair accessible entrance"",""Wheelchair accessible parking lot""]","On-Line Publishers (Owner)",true,"3002 Hempland Rd STE 2, Lancaster, PA 17601, United States","Lancaster","17601","Pennsylvania","US",40.050272,-76.3970205,"[]","{}"
"9569515922797078644","Old News","[""Newspaper publisher""]",,"+1717-898-9207",4.8,4,,,"[""Wheelchair accessible parking lot""]","Old News (Owner)",true,"3 Brandt Blvd, Salunga, PA 17538, United States","Salunga","17538","Pennsylvania","US",40.0989443,-76.4231307,,
"1128805439283284806","Russian Market Newspaper","[""Newspaper publisher""]",,"+1215-938-0102",0,0,,,"[""Wheelchair accessible parking lot""]","Russian Market Newspaper (Owner)",true,"2615 Philmont Ave, Oreland, PA 19075, United States","Oreland","19075","Pennsylvania","US",40.1209014,-75.0548982,,
"17124656290199926676","Newtown Gazette","[""Newspaper publisher""]",,"+1215-702-3406",0,0,,,"[]","Newtown Gazette (Owner)",true,"Langhorne, PA 19047, United States","Langhorne","19047","Pennsylvania","US",40.1745538,-74.92266649999999,,
"1366904745611833017","Sewickley Herald","[""Newspaper publisher"",""Newsstand""]","https://sewickley.triblive.com/","+1412-324-1400",0,0,,,"[""Wheelchair accessible entrance"",""Wheelchair accessible parking lot""]","Sewickley Herald (Owner)",true,"504 Beaver St, Sewickley, PA 15143, United States","Sewickley","15143","Pennsylvania","US",40.5398584,-80.1803274,"[""multimedia@triblive.com""]","{""twitter"":""https://twitter.com/TribLIVE"",""facebook"":""https://www.facebook.com/triblive"",""instagram"":""https://instagram.com/triblive/""}"
"4757032533605301604","Pitt News","[""Newspaper publisher""]","https://pittnews.com/","+1412-624-4141",5,1,,,"[]","Pitt News (Owner)",true,"Open Office, 3959 Fifth Ave, Pittsburgh, PA 15213, United States","Pittsburgh","15213","Pennsylvania","US",40.4433982,-79.9546496,"[""advertising@pittnews.com""]","{""twitter"":""https://twitter.com/ThePittNews"",""facebook"":""https://www.facebook.com/thepittnews/"",""linkedin"":""https://www.linkedin.com/company/the-pitt-news"",""instagram"":""https://www.instagram.com/thepittnews/""}"
"2879525505821106930","Informer Newspaper","[""Newspaper publisher""]",,"+1412-243-3050",2,1,,,"[]","Informer Newspaper (Owner)",true,"7138 Kelly St, Pittsburgh, PA 15208, United States","Pittsburgh","15208","Pennsylvania","US",40.4554844,-79.8973304,,
"11096388218489138264","Shopping News-Lancaster County","[""Newspaper publisher""]","http://www.snews.com/","+1717-738-1151",4.1,16,,,"[""Wheelchair accessible entrance"",""Wheelchair accessible parking lot""]","Shopping News-Lancaster County (Owner)",true,"615 E Main St, Ephrata, PA 17522, United States","Ephrata","17522","Pennsylvania","US",40.1713579,-76.1708652,"[""snews@ptd.net""]","{""facebook"":""https://www.facebook.com/TheShoppingNews/""}"
"11377393919119072202","USA Today Production Department","[""Newspaper publisher""]",,"",5,1,,,"[]","USA Today Production Department (Owner)",true,"535 Keystone Dr, Cranberry Township, PA 16066, United States","Cranberry Township","16066","Pennsylvania","US",40.6695532,-80.11371989999999,,
"3085365559990409407","Radar Synced Falcon","[""Newspaper publisher""]","https://radarsyncedfalcon.com/","+1215-452-9159",0,0,,,"[]","Radar Synced Falcon (Owner)",true,"227 S Carol Blvd, Upper Darby Township, PA 19082, United States","Upper Darby Township","19082","Pennsylvania","US",39.9624378,-75.2803922,"[""abid.ahmedaccessor3@gmail.com""]","{}"
"8360455096418470128","Palm Advertiser","[""Newspaper publisher""]",,"",3,1,,,"[]","Palm Advertiser (Owner)",true,"718 Poplar St, Lebanon, PA 17042, United States","Lebanon","17042","Pennsylvania","US",40.330466,-76.422685,,
"5309440640902028458","Lebanon Daily News","[""Newspaper publisher""]","http://www.ldnews.com/","",3.4,11,,,"[""Wheelchair accessible entrance"",""Wheelchair accessible parking lot""]","Lebanon Daily News (Owner)",true,"718 Poplar St, Lebanon, PA 17042, United States","Lebanon","17042","Pennsylvania","US",40.3307984,-76.4227183,"[""mtoth@gannett.com"",""zgussett@ldnews.com""]","{""twitter"":""https://twitter.com/LDNews"",""facebook"":""https://www.facebook.com/ldnews/""}"
"14707030881198678567","The Pittsburgh Reporter","[""Newspaper publisher""]","https://sopghreporter.com/","",0,0,,,"[]","The Pittsburgh Reporter (Owner)",true,"1701 E Carson St #201, Pittsburgh, PA 15203, United States","Pittsburgh","15203","Pennsylvania","US",40.4289694,-79.98191419999999,"[]","{""twitter"":""https://twitter.com/sopghreporter"",""linkedin"":""https://www.linkedin.com/company/pittsburgh-reporter/"",""instagram"":""https://instagram.com/pittsburghreporter""}"
"7518680473549263569","PMD Enterprises LLC","[""Newspaper distribution service""]","http://www.pmdenterprises.org/","",3.7,3,,,"[""Wheelchair accessible entrance"",""Wheelchair accessible parking lot""]","PMD Enterprises LLC (Owner)",true,"4777 Streets Run Rd Unit 500, Pittsburgh, PA 15236, United States","Pittsburgh","15236","Pennsylvania","US",40.3723154,-79.9453583,"[]","{}"
"12275675386446410670","Green Tree Times","[""Newspaper publisher""]","http://www.greentreetimesonline.com/","+1412-481-7830",0,0,,,"[]","Green Tree Times (Owner)",true,"420 Sulgrave Rd, Pittsburgh, PA 15211, United States","Pittsburgh","15211","Pennsylvania","US",40.43153,-80.0164721,"[]","{}"
"13906503558237413420","Jekko","[""Newspaper publisher""]","https://jekko.com/","",0,0,,,"[]","Jekko (Owner)",true,"Swartz Center, 4765 Forbes Ave, Pittsburgh, PA 15213, United States","Pittsburgh","15213","Pennsylvania","US",40.44497,-79.9456328,"[]","{}"
"12520258409068665688","Dr Minnie Moore-Johnson","[""Newspaper publisher""]",,"+1215-696-8524",4,1,,,"[]","Dr Minnie Moore-Johnson (Owner)",true,"5436 Woodland Ave, Philadelphia, PA 19143, United States","Philadelphia","19143","Pennsylvania","US",39.93543529999999,-75.2199265,,
"17009362331828511739","The Northside Chronicle","[""Newspaper publisher""]","http://www.thenorthsidechronicle.com/","+1412-321-3919",4.8,4,,,"[]","The Northside Chronicle (Owner)",true,"3925 Perrysville Ave, Pittsburgh, PA 15214, United States","Pittsburgh","15214","Pennsylvania","US",40.49031799999999,-80.01903,"[""editor@thenorthsidechronicle.com""]","{""facebook"":""https://www.facebook.com/nschronicle/"",""instagram"":""https://www.instagram.com/nschronicle/""}"
"18150859045978889869","Pittsburgh Jewish Chronicle","[""Newspaper publisher""]",,"+1412-687-1000",0,0,,,"[]","Pittsburgh Jewish Chronicle (Owner)",true,"5915 Beacon St # 3, Pittsburgh, PA 15217, United States","Pittsburgh","15217","Pennsylvania","US",40.435539,-79.919636,,
"7781749866446650830","Pittsburgh Black Directory","[""Newspaper publisher"",""Publisher""]","http://www.pittsburghblackdirectory.com/","+1412-391-8208",5,1,,,"[]","Pittsburgh Black Directory (Owner)",true,"1516 Fifth Ave, Pittsburgh, PA 15219, United States","Pittsburgh","15219","Pennsylvania","US",40.4383392,-79.9844924,"[]","{}"
"9153670766327445250","The Guide","[""Newspaper publisher""]",,"+1717-766-0211",2.3,3,,,"[""Wheelchair accessible entrance"",""Wheelchair accessible parking lot""]","The Guide (Owner)",true,"1156 Four Star Dr, Mount Joy, PA 17552, United States","Mount Joy","17552","Pennsylvania","US",40.1171745,-76.4595595,,
"721587359019730203","Village View","[""Newspaper publisher""]",,"+1570-595-3314",0,0,,,"[""Wheelchair accessible parking lot""]","Village View (Owner)",true,"Mountainhome, PA 18342, United States","Mountainhome","18342","Pennsylvania","US",41.1737016,-75.27101499999999,,
"12127209944255901258","THE INDICATOR","[""Newspaper publisher""]","http://theindicator.org/","+1973-981-4383",0,0,,,"[]","THE INDICATOR (Owner)",true,"3137 Hemlock Hill Rd, Pocono Pines, PA 18350, United States","Pocono Pines","18350","Pennsylvania","US",41.1018799,-75.4711806,"[]","{}"
"5564781862208789433","Warren County Guide","[""Newspaper publisher""]","https://www.warrenguide.com/","+1814-726-3400",1,1,,,"[""Wheelchair accessible parking lot""]","Warren County Guide (Owner)",true,"315 2nd Ave #312, Warren, PA 16365, United States","Warren","16365","Pennsylvania","US",41.8446757,-79.1478609,"[""stacystonewcg@gmail.com"",""billwcg@thecorryjournal.com""]","{}"
