"cid","title","categories","website","phone","review_rating","review_count","price_range","description","attributes","owner_name","is_verified","address","city","postal_code","state","country","latitude","longitude","emails","socials"
"8575002249739796272","Hazleton Tv HD","[""Television station""]","https://hazletontv.com/","(570)710-9884",5,17,,,"[""Wheelchair accessible parking lot""]","Hazleton Tv HD (Owner)",true,"146 E King St, Lancaster, PA 17602","Lancaster","17602","Pennsylvania","US",40.0379039,-76.3020683,"[]","{}"
"1826879884420837530","Vaxzooo","[""Television station""]",,"+1724-374-8910",0,0,,,"[]","Vaxzooo (Owner)",true,"5136 Arbor St, Philadelphia, PA 19120, United States","Philadelphia","19120","Pennsylvania","US",40.0279647,-75.11692649999999,,
"1448335585942501125","Zgs Communications","[""Television station""]",,"+1215-634-8862",5,1,,,"[]","Zgs Communications (Owner)",true,"1341 N Delaware Ave, Philadelphia, PA 19125, United States","Philadelphia","19125","Pennsylvania","US",39.9678272,-75.1276768,,
"7772041922148745655","mcctv","[""Television station""]",,"+1646-241-2798",0,0,,,"[]","mcctv (Owner)",true,"444 N 4th St, Philadelphia, PA 19123, United States","Philadelphia","19123","Pennsylvania","US",39.9590516,-75.14584219999999,,
"5158070815534772394","ION Media Networks","[""Television station""]",,"+1215-482-4733",0,0,,,"[""Wheelchair accessible parking lot""]","ION Media Networks (Owner)",true,"3901 Main St, Philadelphia, PA 19128, United States","Philadelphia","19128","Pennsylvania","US",40.020105,-75.2153269,,
"7489895700849849608","Main Line Broadcasting","[""Television station""]",,"+1610-825-8101",0,0,,,"[""Wheelchair accessible entrance"",""Wheelchair accessible parking lot""]","Main Line Broadcasting (Owner)",true,"300 Conshohocken State Rd, Conshohocken, PA 19428, United States","Conshohocken","19428","Pennsylvania","US",40.0682263,-75.3068972,,
"5954933253348514279","Mort's TV & Video Inc.","[""Television repair service"",""Audio visual equipment repair service"",""Audio visual equipment supplier"",""Electronics store"",""Stereo repair service"",""Home audio store"",""Electronics repair shop""]","https://www.mortstvrepair.com/","+1215-945-8381",4.6,174,,,"[""Small business"",""Onsite services"",""Wheelchair accessible entrance"",""Wheelchair accessible parking lot""]","Mort's TV \u0026 Video Inc. (Owner)",true,"4532 New Falls Rd, Levittown, PA 19056, United States","Levittown","19056","Pennsylvania","US",40.13645,-74.8809194,,
"6836945496435010297","Hershey's Mill Community TV","[""Television station""]","https://hersheysmill.org/hmc-tv20/hmc-tv20/an-introduction/","+1610-436-5922",5,1,,,"[""Wheelchair accessible entrance"",""Wheelchair accessible parking lot""]","Hershey's Mill Community TV (Owner)",true,"20 Hersheys Dr, West Chester, PA 19380, United States","West Chester","19380","Pennsylvania","US",40.0115301,-75.5550002,"[""hmctv@comcast.net"",""webmaster@hersheysmill.org""]","{}"
"10918855290389273203","Wize Buys Television Llc","[""Television station""]",,"+1610-738-6959",0,0,,,"[]","Wize Buys Television Llc (Owner)",true,"790 E Market St, West Chester, PA 19382, United States","West Chester","19382","Pennsylvania","US",39.9648279,-75.5920556,,
"3480696686995425295","Nbccsn Philadelphia","[""Television station""]",,"+1215-551-1658",0,0,,,"[]","Nbccsn Philadelphia (Owner)",true,"3601 S Broad St, Philadelphia, PA 19148, United States","Philadelphia","19148","Pennsylvania","US",39.9044734,-75.1712574,,
"17512237502299088407","PSTV Philadelphia","[""Television station""]","https://www.philasd.org/pstv/","(215)400-4050",5,1,,,"[""Wheelchair accessible entrance"",""Wheelchair accessible parking lot""]","PSTV Philadelphia (Owner)",true,"440 N Broad St basement-suite b1, Philadelphia, PA 19130","Philadelphia","19130","Pennsylvania","US",39.9608431,-75.16277769999999,"[]","{""twitter"":""https://twitter.com/PHLschools"",""facebook"":""https://www.facebook.com/sdpschools"",""linkedin"":""https://www.linkedin.com/company/school-district-of-philadelphia"",""instagram"":""https://www.instagram.com/philly_schools""}"
"2697078531602749430","West Newton Community TV","[""Television station""]","http://www.wnctv.org/","+1724-872-5123",5,1,,,"[""Wheelchair accessible entrance"",""Wheelchair accessible parking lot""]","West Newton Community TV (Owner)",true,"104 N 2nd St, West Newton, PA 15089, United States","West Newton","15089","Pennsylvania","US",40.210141,-79.76664799999999,"[]","{}"
"10211352237168570292","WAP Model Showcase, Ent. TV Show & Studio","[""Television station""]",,"+1512-842-7763",5,2,,,"[]","WAP Model Showcase, Ent. TV Show & Studio (Owner)",true,"5912 Haverford Ave, Philadelphia, PA 19151, United States","Philadelphia","19151","Pennsylvania","US",39.9689969,-75.2378421,,
"451131596137890521","Golden Mile TV","[""Television repair service""]",,"+1724-325-2559",4.9,26,,,"[""Wheelchair accessible entrance"",""Wheelchair accessible parking lot"",""Repair services"",""Credit cards""]","Golden Mile TV (Owner)",true,"2750 Golden Mile Hwy #1, Pittsburgh, PA 15239, United States","Pittsburgh","15239","Pennsylvania","US",40.4783193,-79.70604329999999,,
"4494619310755636384","WPGH-TV transmit","[""Television station""]",,"",0,0,,,"[]","WPGH-TV transmit (Owner)",true,"750 Ivory Ave, Pittsburgh, PA 15214, United States","Pittsburgh","15214","Pennsylvania","US",40.4949492,-80.00481479999999,,
"3686004787757392533","Don's TV Services & Jay Burn Co.","[""Television repair service""]",,"+1412-741-9290",4.3,36,,,"[""Repair services""]","Don's TV Services & Jay Burn Co. (Owner)",true,"1604 Mt Nebo Rd, Sewickley, PA 15143, United States","Sewickley","15143","Pennsylvania","US",40.553002,-80.1069674,,
"11084862532019541867","RCN Productions","[""Television station"",""Cable company""]","https://www.rcn.com/rcntv/contact-us/","+1610-443-2909",4,20,,,"[""Wheelchair accessible entrance"",""Wheelchair accessible parking lot""]","RCN Productions (Owner)",true,"RCNTV Production Studio, 7249 Airport Rd, Bath, PA 18014, United States","Bath","18014","Pennsylvania","US",40.6987365,-75.41893809999999,"[]","{""twitter"":""https://twitter.com/astoundconnects"",""facebook"":""https://www.facebook.com/astoundbroadband""}"
"18263225518927737002","WBPH TV60","[""Television station""]","https://www.wbph.org/","+1610-433-4400",4.3,4,,,"[""Wheelchair accessible entrance"",""Wheelchair accessible parking lot""]","WBPH TV60 (Owner)",true,"813 N Fenwick St, Allentown, PA 18109, United States","Allentown","18109","Pennsylvania","US",40.6208317,-75.44826619999999,"[]","{""facebook"":""https://www.facebook.com/MyLighthouseTV/""}"
"1945977272752268004","WLYH-TV","[""Television station""]","https://lighthousetv.org/station/49-wlyh/","",0,0,,,"[]","WLYH-TV (Owner)",true,"374 Butler Rd, Lebanon, PA 17042, United States","Lebanon","17042","Pennsylvania","US",40.2623531,-76.4647525,"[""info@lighthousetv.org""]","{""facebook"":""https://www.facebook.com/MyLighthouseTV/""}"
"1357272485136217975","WITF DTV/FM Transmitter","[""Television station""]",,"",5,2,,,"[]","WITF DTV/FM Transmitter (Owner)",true,"84WJ+4C, Harrisburg, PA 17112","Harrisburg",,"Pennsylvania","US",40.3453513,-76.86897859999999,,
